2021-02-22 16:28:44 |INFO  |XNIO-1 task-2 |NotebookController.java:127 |com.river.site.controller.NotebookController |新增/修改笔记开始
2021-02-22 16:31:15 |INFO  |XNIO-1 task-2 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-02-22 16:31:15 |INFO  |XNIO-1 task-2 |NotebookController.java:127 |com.river.site.controller.NotebookController |新增/修改笔记开始
2021-02-22 16:36:44 |INFO  |XNIO-1 task-2 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-02-22 16:36:44 |INFO  |XNIO-1 task-2 |NotebookController.java:127 |com.river.site.controller.NotebookController |新增/修改笔记开始
2021-02-22 16:36:48 |INFO  |XNIO-1 task-2 |PublicController.java:51 |com.river.system.controller.PublicController |加载个人主页菜单开始
2021-02-22 16:36:48 |INFO  |XNIO-1 task-2 |PublicController.java:82 |com.river.system.controller.PublicController |加载个人主页菜单结束
2021-02-22 16:36:48 |INFO  |XNIO-1 task-2 |PublicNotebookController.java:74 |com.river.site.controller.publics.PublicNotebookController |查询笔记列表开始
2021-02-22 16:36:48 |INFO  |XNIO-1 task-1 |PublicNotebookController.java:51 |com.river.site.controller.publics.PublicNotebookController |获取笔记分类树
2021-02-22 16:41:37 |INFO  |XNIO-1 task-1 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-02-22 16:41:37 |INFO  |XNIO-1 task-1 |NotebookController.java:127 |com.river.site.controller.NotebookController |新增/修改笔记开始
2021-02-22 16:41:48 |INFO  |XNIO-1 task-1 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-02-22 16:41:48 |INFO  |XNIO-1 task-1 |NotebookController.java:127 |com.river.site.controller.NotebookController |新增/修改笔记开始
2021-02-22 16:48:14 |INFO  |XNIO-1 task-1 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-02-22 16:48:14 |INFO  |XNIO-1 task-1 |NotebookController.java:127 |com.river.site.controller.NotebookController |新增/修改笔记开始
2021-02-22 16:48:21 |INFO  |XNIO-1 task-1 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-02-22 16:48:21 |INFO  |XNIO-1 task-1 |NotebookController.java:127 |com.river.site.controller.NotebookController |新增/修改笔记开始
2021-02-22 17:21:54 |INFO  |XNIO-1 task-1 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-02-22 17:21:54 |INFO  |XNIO-1 task-1 |NotebookController.java:127 |com.river.site.controller.NotebookController |新增/修改笔记开始
2021-02-22 17:21:56 |INFO  |XNIO-1 task-1 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-02-22 17:21:56 |INFO  |XNIO-1 task-1 |NotebookController.java:43 |com.river.site.controller.NotebookController |查询笔记列表开始
2021-02-22 17:22:00 |INFO  |XNIO-1 task-1 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-02-22 17:22:00 |INFO  |XNIO-1 task-1 |NotebookController.java:80 |com.river.site.controller.NotebookController |查询笔记详情开始
2021-02-22 17:22:00 |INFO  |XNIO-1 task-1 |NotebookController.java:97 |com.river.site.controller.NotebookController |查询笔记详情结束
2021-02-22 17:22:00 |INFO  |XNIO-1 task-1 |UeditorController.java:30 |com.river.site.controller.publics.UeditorController |ueditor插件相关的请求开始
2021-02-22 17:27:52 |INFO  |XNIO-1 task-1 |PublicController.java:51 |com.river.system.controller.PublicController |加载个人主页菜单开始
2021-02-22 17:28:13 |INFO  |XNIO-1 task-1 |IndexController.java:59 |com.river.site.controller.publics.IndexController |加载首页数据开始
2021-02-22 17:28:14 |INFO  |XNIO-1 task-1 |IndexController.java:105 |com.river.site.controller.publics.IndexController |加载首页数据结束
2021-02-22 17:29:45 |INFO  |XNIO-1 task-1 |PublicController.java:51 |com.river.system.controller.PublicController |加载个人主页菜单开始
2021-02-22 17:29:55 |INFO  |XNIO-1 task-1 |PublicSiteConnentController.java:46 |com.river.site.controller.publics.PublicSiteConnentController |查询站点内容列表开始
2021-02-22 17:30:03 |INFO  |XNIO-1 task-1 |PublicController.java:51 |com.river.system.controller.PublicController |加载个人主页菜单开始
2021-02-22 17:30:26 |INFO  |XNIO-1 task-1 |PublicSiteConnentController.java:46 |com.river.site.controller.publics.PublicSiteConnentController |查询站点内容列表开始
